$GPYBM,SN10086413,081054.90,+32.031672283,+120.915326261,15.250,267.604,-0.942,-0.013,0.157,-0.010,0.158,3545730.813,586463.930,1876.387,2120.089,4,4,28,2,0099,0.728,27,*72

$GPYBM,SN10086413,081055.00,+32.031672292,+120.915326465,15.245,267.307,-0.876,0.008,0.199,0.044,0.199,3545730.814,586463.950,1876.388,2120.108,4,4,28,2,0099,0.726,27,*70

$GPYBM,SN10086413,081055.10,+32.031672304,+120.915326638,15.247,267.751,-0.789,0.014,0.175,-0.014,0.175,3545730.816,586463.966,1876.389,2120.125,4,4,28,2,0099,0.726,27,*53

$GPYBM,SN10086413,081055.20,+32.031672295,+120.915326831,15.250,267.911,-0.817,-0.008,0.189,-0.022,0.189,3545730.815,586463.984,1876.388,2120.143,4,4,28,1,0099,0.727,27,*73

$GPYBM,SN10086413,081055.30,+32.031672310,+120.915327026,15.249,267.777,-0.963,0.015,0.191,0.000,0.192,3545730.817,586464.003,1876.390,2120.161,4,4,28,1,0099,0.727,27,*70

$GPYBM,SN10086413,081055.40,+32.031672315,+120.915327204,15.242,267.427,-0.852,0.007,0.175,0.064,0.175,3545730.818,586464.019,1876.390,2120.178,4,4,28,1,0099,0.722,27,*75

$GPYBM,SN10086413,081055.50,+32.031672334,+120.915327404,15.241,267.643,-1.005,0.021,0.194,0.013,0.195,3545730.820,586464.038,1876.392,2120.197,4,4,27,2,0099,0.725,26,*7D

$GPYBM,SN10086413,081055.60,+32.031672341,+120.915327601,15.238,267.571,-0.784,0.009,0.193,0.033,0.193,3545730.821,586464.057,1876.393,2120.216,4,4,28,2,0099,0.724,26,*7C

$GPYBM,SN10086413,081055.70,+32.031672353,+120.915327790,15.233,267.878,-0.843,0.013,0.184,0.043,0.185,3545730.822,586464.075,1876.394,2120.233,4,4,28,2,0099,0.725,26,*73

$GPYBM,SN10086413,081055.80,+32.031672382,+120.915328010,15.233,267.233,-0.893,0.032,0.212,0.012,0.214,3545730.826,586464.096,1876.398,2120.254,4,4,28,2,0099,0.726,26,*7F

$GPYBM,SN10086413,081055.90,+32.031672369,+120.915328237,15.231,267.305,-0.778,-0.010,0.219,0.013,0.220,3545730.824,586464.117,1876.396,2120.276,4,4,28,2,0099,0.722,26,*50

$GPYBM,SN10086413,081056.00,+32.031672388,+120.915328440,15.232,267.066,-0.905,0.019,0.199,-0.008,0.200,3545730.827,586464.136,1876.398,2120.295,4,4,28,1,0099,0.723,26,*59

$GPYBM,SN10086413,081056.10,+32.031672393,+120.915328667,15.234,267.087,-0.715,0.007,0.218,-0.015,0.218,3545730.827,586464.158,1876.399,2120.316,4,4,28,1,0099,0.723,26,*50

$GPYBM,SN10086413,081056.20,+32.031672382,+120.915328909,15.233,267.045,-0.715,-0.011,0.234,0.008,0.234,3545730.826,586464.181,1876.398,2120.339,4,4,28,1,0099,0.725,26,*59

$GPYBM,SN10086413,081056.30,+32.031672411,+120.915329190,15.239,266.960,-0.788,0.031,0.269,-0.059,0.271,3545730.830,586464.207,1876.401,2120.366,4,4,27,1,0099,0.730,26,*5E

$GPYBM,SN10086413,081056.40,+32.031672418,+120.915329456,15.237,267.245,-0.928,0.009,0.257,0.018,0.257,3545730.831,586464.232,1876.402,2120.391,4,4,27,1,0099,0.730,26,*7E

$GPYBM,SN10086413,081056.50,+32.031672426,+120.915329775,15.235,267.349,-1.009,0.010,0.305,0.019,0.306,3545730.832,586464.262,1876.403,2120.421,4,4,27,2,0099,0.730,26,*76

$GPYBM,SN10086413,081056.60,+32.031672410,+120.915330142,15.232,267.352,-1.125,-0.016,0.350,0.025,0.351,3545730.830,586464.297,1876.401,2120.456,4,4,27,2,0099,0.732,26,*56

$GPYBM,SN10086413,081056.70,+32.031672413,+120.915330514,15.231,267.432,-1.065,0.003,0.358,0.014,0.358,3545730.831,586464.332,1876.401,2120.491,4,4,27,2,0099,0.735,26,*7D

$GPYBM,SN10086413,081056.80,+32.031672440,+120.915330877,15.235,267.398,-1.033,0.029,0.350,-0.032,0.351,3545730.834,586464.366,1876.404,2120.525,4,4,28,2,0099,0.738,26,*51

$GPYBM,SN10086413,081056.90,+32.031672433,+120.915331281,15.238,266.990,-0.877,-0.005,0.386,-0.037,0.386,3545730.834,586464.405,1876.403,2120.563,4,4,28,2,0099,0.737,26,*7E

$GPYBM,SN10086413,081057.00,+32.031672465,+120.915331700,15.238,267.191,-1.210,0.033,0.402,-0.001,0.404,3545730.838,586464.444,1876.407,2120.603,4,4,28,1,0099,0.735,26,*59

$GPYBM,SN10086413,081057.10,+32.031672436,+120.915332149,15.241,267.844,-1.264,-0.028,0.428,-0.030,0.429,3545730.835,586464.487,1876.404,2120.645,4,4,28,1,0099,0.742,26,*7B

$GPYBM,SN10086413,081057.20,+32.031672472,+120.915332534,15.239,267.432,-1.299,0.036,0.374,0.018,0.376,3545730.839,586464.523,1876.408,2120.681,4,4,27,1,0099,0.739,26,*74

$GPYBM,SN10086413,081057.30,+32.031672484,+120.915332974,15.235,267.632,-1.230,0.015,0.419,0.035,0.420,3545730.841,586464.564,1876.409,2120.723,4,4,27,1,0099,0.746,26,*73

$GPYBM,SN10086413,081057.40,+32.031672505,+120.915333453,15.240,267.751,-1.218,0.025,0.458,-0.037,0.459,3545730.844,586464.610,1876.411,2120.768,4,4,27,1,0099,0.744,26,*5F

$GPYBM,SN10086413,081057.50,+32.031672519,+120.915333905,15.235,267.547,-1.051,0.015,0.434,0.039,0.435,3545730.846,586464.652,1876.413,2120.811,4,4,28,2,0099,0.744,26,*7E

$GPYBM,SN10086413,081057.60,+32.031672538,+120.915334365,15.232,267.752,-1.490,0.022,0.441,0.031,0.442,3545730.848,586464.696,1876.415,2120.854,4,4,27,2,0099,0.754,26,*7C

$GPYBM,SN10086413,081057.70,+32.031672538,+120.915334842,15.229,267.650,-1.596,0.001,0.456,0.036,0.456,3545730.848,586464.741,1876.415,2120.900,4,4,27,2,0099,0.750,26,*77

$GPYBM,SN10086413,081057.80,+32.031672557,+120.915335292,15.228,268.154,-1.651,0.021,0.432,0.010,0.433,3545730.851,586464.783,1876.417,2120.942,4,4,27,2,0099,0.757,26,*70

$GPYBM,SN10086413,081057.90,+32.031672558,+120.915335787,15.237,268.238,-1.434,0.003,0.470,-0.076,0.470,3545730.851,586464.830,1876.417,2120.989,4,4,27,2,0099,0.756,26,*54

$GPYBM,SN10086413,081058.00,+32.031672551,+120.915336219,15.243,268.167,-1.441,-0.007,0.408,-0.060,0.408,3545730.851,586464.871,1876.416,2121.030,4,4,28,2,0099,0.757,26,*7C

$GPYBM,SN10086413,081058.10,+32.031672581,+120.915336690,15.239,267.572,-1.335,0.022,0.436,0.007,0.436,3545730.855,586464.915,1876.420,2121.074,4,4,28,2,0099,0.757,26,*77

